Кадр 22
Временная метка: 0:05:30
Номер кадра: 19800
Скриншот: frame_019800_330.00s.jpg

────────────────────────────────────────────────────────────────────────────────

АУДИО КОНТЕКСТ (±10 секунд):
────────────────────────────────────────
[0:05:22] Вставим второй предмет
[0:05:24] Это будет у нас допустим не lotus orb
[0:05:26] А будет какой-нибудь
[0:05:28] Мотус орб
[0:05:30] Ладно
[0:05:32] Дизель кастом
[0:05:34] Допустим мы делали когда-то дизель кастом
[0:05:36] И будет шанс у нас также 25%

AI АНАЛИЗ:
────────────────────────────────────────
На экране показан текстовый редактор Sublime Text, в котором открыт файл `npc_items_custom.txt`. Это файл конфигурации для кастомных предметов в игре Dota 2. 

### Детали экрана:

1. **Название программы**: Sublime Text.
2. **Открытые файлы**: 
   - `npc_items_custom.txt`
   - `item_drop_manager.lua`
   - `item_drop.lua`
   - `addon_game_mode.lua`

3. **Структура папок**:
   - Путь к файлу: `C:\Program Files (x86)\Steam\steamapps\common\dota 2 beta\game\dota_addons\chupakabra\scripts\npc\npc_items_custom.txt`
   - Видны папки: `maps`, `materials`, `panoramas`, `particles`, `resource`, `scripts`, `sounds`.

4. **Код**:
   - Язык: Конфигурационный файл (формат JSON-подобный).
   - Видимый код:
     ```plaintext
     "item_motus_orb"
     {
         // General
         // Basic
         // Invalidated collected stats.
         "AbilityBehavior"        "DOTA_ABILITY_BEHAVIOR_UNIT_TARGET"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime"          "0"
         "ItemStackable"          "0"
         "ItemPermanent"          "1"
         "ItemInitialCharges"     "0"
         "ItemDisplayCharges"     "0"
         "ItemInitialStockTime"   "0"
         "ItemStockTime
